City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,75.99,-23.12,-134.97,Pension Maro'i
6,Atuona,PF,77.77,-9.8,-139.03,Villa Enata
11,El Carmen,CO,75.54,8.51,-73.45,La Casona
14,Morant Bay,JM,86.0,17.88,-76.41,Whispering Bamboo Cove Resort
20,Kavieng,PG,82.06,-2.57,150.8,Nusa Island Retreat
22,Adre,TD,82.58,13.47,22.2,
34,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
36,Puerto Ayora,EC,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Luganville,VU,77.0,-15.53,167.17,The Espiritu Hotel
48,Buin,CL,84.2,-33.73,-70.75,Paihuen
49,Port-Gentil,GA,80.6,-0.72,8.78,Fengshui Residence
50,Guadalajara,MX,84.99,20.67,-103.33,Hotel Aranzazú
52,Saint George,US,77.0,37.1,-113.58,Best Western Plus Abbey Inn
57,Cabo San Lucas,MX,84.0,22.89,-109.91,Hotel Tesoro Los Cabos
58,Osmena,PH,82.81,10.52,119.93,Arjemarkyza Lodge
61,Acajutla,SV,87.8,13.59,-89.83,Stop.
62,San Cristobal,VE,89.6,7.77,-72.22,Pirineos
75,Mackay,AU,77.0,-21.15,149.2,International Lodge Motel
80,Mabaruma,GY,80.33,8.2,-59.78,
84,Takoradi,GH,79.16,4.88,-1.76,Raybow International Hotel
87,Butaritari,KI,81.52,3.07,172.79,Isles Sunset Lodge
89,Laguna,US,77.0,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
91,Isangel,VU,78.03,-19.55,169.27,Volcano Sea View Tree House
96,Kalabo,ZM,81.5,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
99,Daru,PG,79.66,-9.08,143.21,New century hotel
101,Carutapera,BR,80.24,-1.2,-46.02,Lidera
105,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
110,Keti Bandar,PK,78.78,24.14,67.45,Haji laloo memon house
115,Labuhan,ID,79.65,-6.88,112.21,bador sepret
117,Kutum,SD,76.5,14.2,24.67,Dibbo areaمنطقة دبو
119,Padang,ID,77.86,-0.95,100.35,Mercure Padang
120,Sinnamary,GF,82.78,5.38,-52.95,ALETHEIA Appartement Sinnamary
121,Caravelas,BR,76.71,-17.71,-39.25,Pousada dos Navegantes
125,Vanimo,PG,78.66,-2.67,141.3,Vahmoneh Lodge Vanimo
128,Soyo,AO,77.86,-6.13,12.37,Hotel Mpampa
130,Barmer,IN,75.24,25.75,71.38,OYO 71911 Hotel Amber Palace
135,Bilma,NE,75.47,18.69,12.92,Expeditions Ténére voyages
136,El Vigia,VE,85.53,8.62,-71.65,Liceo Bolivariano 19 De Abril
141,Port Blair,IN,80.49,11.67,92.75,Fortune Resort Bay Island
142,Hilo,US,84.2,19.73,-155.09,Hilo Hawaiian Hotel
145,Nanakuli,US,84.0,21.39,-158.15,Camp Pālehua
154,Santa Rosa,PH,82.4,14.31,121.11,Erlyn’s Sta Rosa City Home
168,Carauari,BR,87.84,-4.88,-66.9,Pousada Lobo
170,Jaguarari,BR,78.26,-10.26,-40.2,Hotel Quintal De Casa
173,Yenagoa,NG,76.86,4.92,6.26,Amba Hotels Limited
177,Tautira,PF,82.4,-17.73,-149.15,Pension Oaoa
181,Hithadhoo,MV,82.96,-0.6,73.08,Scoop Guest House
182,Ixtapa,MX,86.0,20.7,-105.2,Container Inn Puerto Vallarta
183,Bani,DO,87.8,18.28,-70.33,Hospedaje Henriquez
190,Majene,ID,77.68,-3.54,118.97,Kost Putri RABBANI
192,Coahuayana,MX,82.4,18.73,-103.68,Hotel Los Arcos
194,Bengkulu,ID,75.13,-3.8,102.27,Grage Hotel Bengkulu
195,Nioro,GM,82.04,13.35,-15.75,
198,Dakar,SN,82.4,14.69,-17.44,Novotel Dakar
201,Barahona,DO,84.2,18.21,-71.1,Hotel Caribe
202,Dogondoutchi,NE,88.3,13.64,4.03,Hôtel Alheri Maison Alheri
204,Kapaa,US,82.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
206,Kloulklubed,PW,78.8,7.04,134.26,Storyboard Beach Resort
210,Abonnema,NG,77.99,4.71,6.79,Corper's Lodge Obonoma
212,Malakal,SS,75.67,9.53,31.66,Nile Palace Hotel
218,Puerto Escondido,MX,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
231,Pangai,TO,78.8,-19.8,-174.35,Ha'apai Beach Resort
232,Beira,MZ,77.0,-19.84,34.84,Beira Terrace Hotel
234,Dunmore Town,BS,82.08,25.5,-76.65,Coral Sands Hotel
236,Samarai,PG,80.56,-10.62,150.67,Nuli Sapi
237,Salalah,OM,77.0,17.02,54.09,HAMDAN PLAZA HOTEL
239,Vera Cruz,BR,77.5,-12.63,-41.03,
242,Eyl,SO,80.94,7.98,49.82,Amiin Hotel
243,Galle,LK,78.85,6.04,80.22,Amangalla
248,Tomatlan,MX,85.96,19.93,-105.25,Norma franco
252,Ikom,NG,75.27,5.97,8.71,Reho Farm & Resort
253,Safaga,EG,77.63,26.73,33.94,Lamar Resort Abu Soma
256,Miranda,CO,87.8,3.25,-76.23,Parqueadero toño lasso
257,Alofi,NU,75.2,-19.06,-169.92,Taloa Heights
258,Taraza,CO,82.49,7.58,-75.4,Hotel Monteverde
269,Doha,QA,80.6,25.29,51.53,Doha Marriott Hotel
270,Canutama,BR,87.21,-6.53,-64.38,Hotel Jhennifer
271,Namatanai,PG,81.86,-3.67,152.43,Namatanai Hotel
275,Taoudenni,ML,79.65,22.68,-3.98,
277,Porto Murtinho,BR,82.04,-21.7,-57.88,Hotel Pantanal
284,Faanui,PF,79.23,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Banda Aceh,ID,79.84,5.56,95.32,OYO 884 Rumoh PMI Hotel
288,Ciudad Bolivar,VE,88.66,8.12,-63.55,Hotel Edi
290,Kuala Selangor,MY,80.6,3.35,101.25,Apps Hotel
294,Aborlan,PH,79.05,9.44,118.55,Kevina Transient House
297,Mogadishu,SO,79.75,2.04,45.34,Hotel Juba
298,Jardim,BR,79.03,-21.48,-56.14,Hotel Estância
299,Samfya,ZM,76.77,-11.36,29.56,Chita Lodge Samfya
306,Georgetown,MY,80.6,5.41,100.34,Cititel Penang
