City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-10-29 15:29:08,-46.6,168.33,51.01,93,72,3.0
1,Port-Cartier,CA,2020-10-29 15:24:56,50.03,-66.87,35.01,74,40,11.41
2,Rikitea,PF,2020-10-29 15:29:08,-23.12,-134.97,74.35,72,100,8.52
3,Bengkulu,ID,2020-10-29 15:29:08,-3.8,102.27,77.32,86,100,3.89
4,Hammerfest,NO,2020-10-29 15:29:08,70.66,23.68,33.8,94,75,16.11
5,Hobart,AU,2020-10-29 15:25:42,-42.88,147.33,53.6,76,90,2.95
6,Butaritari,KI,2020-10-29 15:29:09,3.07,172.79,81.46,77,70,10.76
7,Sao Joao Da Barra,BR,2020-10-29 15:29:09,-21.64,-41.05,91.4,52,0,12.28
8,Atuona,PF,2020-10-29 15:29:09,-9.8,-139.03,77.31,70,3,18.25
9,Guiyang,CN,2020-10-29 15:29:09,26.58,106.72,55.4,93,90,2.24
10,Ushuaia,AR,2020-10-29 15:29:10,-54.8,-68.3,46.4,81,75,29.97
11,Lazaro Cardenas,MX,2020-10-29 15:29:10,17.96,-102.2,80.58,76,9,3.31
12,Bambous Virieux,MU,2020-10-29 15:29:11,-20.34,57.76,71.01,69,49,5.01
13,Hilo,US,2020-10-29 15:28:24,19.73,-155.09,73.0,73,1,6.93
14,Carnarvon,AU,2020-10-29 15:29:11,-24.87,113.63,69.8,100,75,8.05
15,Henties Bay,NA,2020-10-29 15:29:11,-22.12,14.28,64.0,79,69,10.0
16,Evensk,RU,2020-10-29 15:29:11,61.95,159.23,20.84,82,0,3.58
17,Hermanus,ZA,2020-10-29 15:29:12,-34.42,19.23,55.99,70,88,7.0
18,Tiksi,RU,2020-10-29 15:29:12,71.69,128.87,3.04,93,99,9.78
19,Amga,RU,2020-10-29 15:29:12,60.9,131.96,-3.42,91,46,0.92
20,Bredasdorp,ZA,2020-10-29 15:29:12,-34.53,20.04,62.6,45,97,23.04
21,Ulkan,RU,2020-10-29 15:29:12,57.24,107.32,27.18,96,80,4.99
22,Quatre Cocos,MU,2020-10-29 15:29:13,-20.21,57.76,71.01,69,56,5.01
23,Vaini,TO,2020-10-29 15:29:13,-21.2,-175.2,69.8,77,20,6.93
24,Port Hardy,CA,2020-10-29 15:29:13,50.7,-127.42,51.8,100,90,5.82
25,Polillo,PH,2020-10-29 15:29:13,14.71,121.94,80.35,87,99,12.12
26,Mar Del Plata,AR,2020-10-29 15:28:39,-38.0,-57.56,53.6,62,75,13.87
27,Ulladulla,AU,2020-10-29 15:29:14,-35.35,150.47,55.0,100,58,5.82
28,Kenai,US,2020-10-29 15:29:14,60.55,-151.26,19.4,85,90,3.36
29,Pemangkat,ID,2020-10-29 15:29:14,1.17,108.97,80.38,83,100,6.24
30,Acapulco,MX,2020-10-29 15:28:26,16.86,-99.89,82.4,78,20,4.7
31,Castro,BR,2020-10-29 15:29:14,-24.79,-50.01,82.78,33,100,1.25
32,Kapaa,US,2020-10-29 15:29:15,22.08,-159.32,66.2,93,1,5.82
33,Narrabri,AU,2020-10-29 15:29:15,-30.32,149.78,57.2,62,0,10.29
34,Hualmay,PE,2020-10-29 15:29:15,-11.1,-77.61,67.69,69,51,9.37
35,Athens,GR,2020-10-29 15:26:59,37.98,23.72,71.01,60,40,5.82
36,Statesboro,US,2020-10-29 15:28:09,32.45,-81.78,77.0,94,90,8.05
37,Lompoc,US,2020-10-29 15:29:16,34.64,-120.46,44.6,65,1,5.82
38,Tautira,PF,2020-10-29 15:29:16,-17.73,-149.15,77.0,83,75,5.82
39,San Patricio,US,2020-10-29 15:29:16,28.02,-97.52,64.4,39,1,20.8
40,Sobolevo,RU,2020-10-29 15:29:16,54.43,31.9,45.95,90,98,10.22
41,Tasiilaq,GL,2020-10-29 15:29:17,65.61,-37.64,32.0,90,75,6.93
42,Barrow,US,2020-10-29 15:29:17,71.29,-156.79,10.4,85,90,12.75
43,East London,ZA,2020-10-29 15:29:17,-33.02,27.91,68.0,94,75,8.05
44,Punta Arenas,CL,2020-10-29 15:29:17,-53.15,-70.92,51.8,50,20,38.03
45,Saint-Philippe,RE,2020-10-29 15:29:17,-21.36,55.77,71.6,68,75,13.87
46,Jamestown,US,2020-10-29 15:29:18,42.1,-79.24,45.0,87,90,3.36
47,Tottori,JP,2020-10-29 15:29:18,35.5,134.23,56.61,67,100,6.38
48,Tabuk,PH,2020-10-29 15:29:18,17.42,121.44,75.18,87,57,3.83
49,Iqaluit,CA,2020-10-29 15:29:19,63.75,-68.51,15.8,66,75,8.05
50,Mataura,NZ,2020-10-29 15:29:19,-46.19,168.86,51.01,93,68,3.0
51,Itai,BR,2020-10-29 15:29:19,-23.42,-49.09,91.67,25,62,6.62
52,Dikson,RU,2020-10-29 15:29:19,73.51,80.55,2.89,86,54,19.17
53,Chok Chai,TH,2020-10-29 15:29:20,14.73,102.17,77.0,99,100,2.71
54,Cape Town,ZA,2020-10-29 15:29:20,-33.93,18.42,61.0,51,75,12.75
55,Buchanan,LR,2020-10-29 15:29:21,5.88,-10.05,89.6,66,75,10.29
56,Provideniya,RU,2020-10-29 15:29:21,64.38,-173.3,23.49,89,0,6.73
57,Moosburg,DE,2020-10-29 15:29:21,48.47,11.93,51.8,71,40,9.17
58,Bethel,US,2020-10-29 15:26:15,41.37,-73.41,46.4,93,90,5.82
59,Aldan,RU,2020-10-29 15:29:22,58.6,125.39,5.94,91,100,2.89
60,Port Blair,IN,2020-10-29 15:29:22,11.67,92.75,81.14,81,91,8.95
61,Mopti,ML,2020-10-29 15:29:22,14.67,-4.0,100.4,13,0,16.11
62,Lubango,AO,2020-10-29 15:29:22,-14.92,13.49,73.47,55,89,4.27
63,Mokrous,RU,2020-10-29 15:29:23,51.23,47.52,42.73,64,42,10.71
64,Sao Filipe,CV,2020-10-29 15:29:23,14.9,-24.5,83.26,61,0,6.49
65,Erlensee,DE,2020-10-29 15:29:23,50.16,8.99,52.0,90,100,8.72
66,Dawlatabad,AF,2020-10-29 15:29:23,36.41,64.91,44.13,47,0,5.26
67,Kieta,PG,2020-10-29 15:29:23,-6.22,155.63,79.81,77,100,1.59
68,Georgetown,MY,2020-10-29 15:29:24,5.41,100.34,80.6,88,20,4.99
69,Busselton,AU,2020-10-29 15:29:24,-33.65,115.33,64.99,34,0,14.05
70,Talnakh,RU,2020-10-29 15:29:24,69.49,88.4,4.68,80,78,5.37
71,Upernavik,GL,2020-10-29 15:29:24,72.79,-56.15,18.57,85,96,6.31
72,Penalva,BR,2020-10-29 15:29:24,-3.29,-45.17,94.33,48,30,5.06
73,Iquique,CL,2020-10-29 15:29:25,-20.22,-70.14,66.2,59,0,9.17
74,Klaksvik,FO,2020-10-29 15:29:25,62.23,-6.59,48.2,93,32,9.17
75,Luderitz,NA,2020-10-29 15:29:25,-26.65,15.16,67.17,59,65,31.27
76,Komsomolskiy,UZ,2020-10-29 15:29:25,40.43,71.72,46.4,39,0,6.93
77,Malanville,BJ,2020-10-29 15:29:25,11.87,3.39,97.56,17,0,8.95
78,Xuddur,SO,2020-10-29 15:29:26,4.12,43.89,77.54,76,87,7.43
