City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,75.99,68,0,7.94,clear sky
1,Bethel,US,41.37,-73.41,37.4,86,90,9.17,overcast clouds
2,Baturaja,ID,-4.13,104.17,74.73,91,77,1.25,broken clouds
3,Hobart,AU,-42.88,147.33,51.01,87,20,4.7,few clouds
4,Pisco,PE,-13.7,-76.22,68.0,72,75,8.05,broken clouds
5,Saint-Augustin,CA,51.23,-58.65,29.21,82,0,10.18,clear sky
6,Atuona,PF,-9.8,-139.03,77.77,72,98,11.54,overcast clouds
7,Susangerd,IR,31.56,48.18,66.2,45,0,2.24,clear sky
8,Albany,US,42.6,-73.97,36.0,85,74,4.27,broken clouds
9,Bredasdorp,ZA,-34.53,20.04,48.2,70,0,3.36,clear sky
10,Ostrovnoy,RU,68.05,39.51,35.1,86,95,17.6,overcast clouds
11,El Carmen,CO,8.51,-73.45,75.54,84,53,3.44,heavy intensity rain
12,Port Elizabeth,ZA,-33.92,25.57,50.0,81,3,5.82,clear sky
13,Busselton,AU,-33.65,115.33,60.01,65,1,4.65,clear sky
14,Morant Bay,JM,17.88,-76.41,86.0,70,40,9.17,scattered clouds
15,Mataura,NZ,-46.19,168.86,54.0,98,100,11.01,light rain
16,East London,ZA,-33.02,27.91,62.08,68,100,2.1,overcast clouds
17,Tuatapere,NZ,-46.13,167.68,54.0,98,100,11.01,light rain
18,Lagoa,PT,39.05,-27.98,68.56,90,100,19.95,light rain
19,Luderitz,NA,-26.65,15.16,60.58,55,100,28.12,overcast clouds
20,Kavieng,PG,-2.57,150.8,82.06,76,95,7.29,moderate rain
21,Ahipara,NZ,-35.17,173.17,68.31,71,12,11.48,few clouds
22,Adre,TD,13.47,22.2,82.58,24,82,6.85,broken clouds
23,Severo-Kurilsk,RU,50.68,156.12,41.76,90,100,31.56,moderate rain
24,Port Hardy,CA,50.7,-127.42,51.8,62,75,8.05,broken clouds
25,Moron,AR,-34.65,-58.62,68.0,98,97,1.99,overcast clouds
26,Mandalgovi,MN,45.76,106.27,24.55,78,0,13.04,clear sky
27,Sandwick,GB,60.0,-1.25,50.0,71,67,31.09,broken clouds
28,Mahebourg,MU,-20.41,57.7,68.0,64,40,11.41,scattered clouds
29,Beyneu,KZ,45.32,55.2,45.72,58,32,16.24,scattered clouds
30,Torbay,CA,47.67,-52.73,34.0,59,75,10.29,broken clouds
31,Ardakan,IR,32.31,54.02,57.2,24,0,2.24,clear sky
32,Leningradskiy,RU,69.38,178.42,18.14,93,44,20.69,scattered clouds
33,Cape Town,ZA,-33.93,18.42,59.0,67,0,19.46,clear sky
34,Avarua,CK,-21.21,-159.78,77.0,78,98,6.93,overcast clouds
35,Chokurdakh,RU,70.63,147.92,7.7,95,100,7.14,overcast clouds
36,Puerto Ayora,EC,-0.74,-90.35,80.6,65,20,20.8,few clouds
37,Chute-Aux-Outardes,CA,49.12,-68.4,37.4,40,75,8.05,broken clouds
38,Vaini,TO,-21.2,-175.2,73.4,83,75,20.47,light intensity shower rain
39,Sinjar,IQ,36.32,41.88,62.55,26,80,1.7,broken clouds
40,Mar Del Plata,AR,-38.0,-57.56,60.8,63,0,10.29,clear sky
41,Udachnyy,RU,66.42,112.4,-0.4,91,90,2.24,light snow
42,Hermanus,ZA,-34.42,19.23,46.0,89,1,11.52,clear sky
43,Ushuaia,AR,-54.8,-68.3,48.2,76,75,24.16,broken clouds
44,Lebu,CL,-37.62,-73.65,57.38,72,0,12.01,clear sky
45,Luganville,VU,-15.53,167.17,77.0,94,75,2.24,broken clouds
46,Yellowknife,CA,62.46,-114.35,19.4,79,75,10.29,broken clouds
47,Bluff,NZ,-46.6,168.33,54.0,98,100,11.01,light rain
48,Buin,CL,-33.73,-70.75,84.2,18,0,9.17,clear sky
49,Port-Gentil,GA,-0.72,8.78,80.6,83,40,4.7,scattered clouds
50,Guadalajara,MX,20.67,-103.33,84.99,36,40,12.75,scattered clouds
51,Kungurtug,RU,50.6,97.52,21.63,90,93,5.14,overcast clouds
52,Saint George,US,37.1,-113.58,77.0,20,1,0.89,clear sky
53,Tarko-Sale,RU,64.92,77.78,22.21,98,100,11.74,overcast clouds
54,Hegang,CN,47.4,130.37,30.47,93,100,4.32,overcast clouds
55,Motril,ES,36.75,-3.52,61.0,69,45,3.38,scattered clouds
56,Kodiak,US,57.79,-152.41,33.8,69,90,5.82,light snow
57,Cabo San Lucas,MX,22.89,-109.91,84.0,58,40,9.17,scattered clouds
58,Osmena,PH,10.52,119.93,82.81,81,100,17.52,light rain
59,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,18.34,broken clouds
60,Longyearbyen,SJ,78.22,15.64,17.6,72,0,2.24,clear sky
61,Acajutla,SV,13.59,-89.83,87.8,52,20,2.24,few clouds
62,San Cristobal,VE,7.77,-72.22,89.6,49,40,10.29,scattered clouds
63,Port Alfred,ZA,-33.59,26.89,58.41,64,73,2.39,broken clouds
64,Pacific Grove,US,36.62,-121.92,63.0,67,1,4.7,clear sky
65,Yumen,CN,40.28,97.2,31.17,85,0,10.71,clear sky
66,Sladkovo,RU,55.53,70.34,29.62,98,30,7.36,scattered clouds
67,Chardara,KZ,41.25,67.97,45.3,55,0,2.62,clear sky
68,Klaksvik,FO,62.23,-6.59,48.2,81,10,20.8,clear sky
69,Blois,FR,47.58,1.33,48.0,100,16,3.04,mist
70,Monteagudo,BO,-19.82,-63.98,70.59,37,60,5.86,broken clouds
71,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,75,8.05,broken clouds
72,Chuy,UY,-33.7,-53.46,57.7,77,62,8.9,broken clouds
73,Esperance,AU,-33.87,121.9,57.2,67,0,18.34,clear sky
74,Bongandanga,CD,1.5,21.05,69.71,98,98,1.77,light rain
75,Mackay,AU,-21.15,149.2,77.0,88,40,3.36,scattered clouds
76,Qaanaaq,GL,77.48,-69.36,12.61,83,97,5.61,overcast clouds
77,Castro,BR,-24.79,-50.01,54.81,93,100,10.87,overcast clouds
78,Ola,RU,59.58,151.28,29.84,95,100,12.64,overcast clouds
79,Wyndham,US,37.7,-77.61,60.01,72,82,8.03,broken clouds
80,Mabaruma,GY,8.2,-59.78,80.33,90,100,5.37,overcast clouds
81,San Quintin,MX,30.48,-115.95,74.28,42,100,9.84,overcast clouds
82,La Rioja,ES,42.25,-2.5,54.0,87,0,3.36,clear sky
83,Sur,OM,22.57,59.53,71.29,61,0,3.4,clear sky
84,Takoradi,GH,4.88,-1.76,79.16,82,51,4.41,broken clouds
85,Bahia Blanca,AR,-38.72,-62.27,74.66,20,0,8.68,clear sky
